ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,didakta_combined
10,ἀλλ',ἀλλά,c--------,adv indeclform,0.0,COORD,5.114,,,,,
11,ἔτι,ἔτι,d--------,adv indeclform,14.0,AuxY,5.114,,,,,
12,οἱ,ἕ,p-s---md-,"DatPos, Pron4",13.0,OBJ,5.114,DatPos,,,,DatPos
13,μοῖρ',μοῖρα,n-s---fn-,NomSubj,14.0,SBJ,5.114,NomSubj,,,,NomSubj
14,ἐστὶ,εἰμί,v3spia---,"PresIter.1., Ind, Act [introduces hysteron proteron, Smyth 3030]",10.0,PRED_CO,5.114,PresIter.1.,Ind,,,PresIter.1.|Ind
15,φίλους,φίλος,a-p---ma-,AccObj,17.0,OBJ,5.114,AccObj,,,,AccObj
16,τ',τε,g--------,particle indeclform,18.0,AuxY,5.114,,,,,
17,ἰδέειν,εἶδον,v--ana---,InfDyn.2,18.0,PNOM_CO,5.114,InfDyn.2,,,,InfDyn.2
18,καὶ,καί,c--------,conj indeclform,14.0,COORD,5.114,,,,,
19,ἱκέσθαι,ἱκνέομαι,v--anm---,InfDyn.2,18.0,PNOM_CO,5.114,InfDyn.2,,,,InfDyn.2
20,οἶκον,οἶκος,n-s---ma-,AccDirec.1 (Prep3),21.0,OBJ_CO,5.115,,,,,
21,ἐς,εἰς,r--------,Prep3,23.0,AuxP,5.115,,,,,
22,ὑψόροφον,ὑψόροφος,a-s---ma-,AccDirec.1 (Prep3),20.0,ATR,5.115,,,,,
23,καὶ,καί,c--------,conj indeclform,19.0,COORD,5.115,,,,,
24,ἑὴν,ἑός,a-s---fa-,"Pron3, AccDirec.1 (Prep3)",27.0,ATR,5.115,,,,,
25,ἐς,εἰς,r--------,Prep3,23.0,AuxP,5.115,,,,,
26,πατρίδα,πατρίς,a-s---fa-,AccDirec.1 (Prep3),27.0,ATR,5.115,,,,,
27,γαῖαν,γαῖα,n-s---fa-,AccDirec.1 (Prep3),25.0,OBJ_CO,5.115,,,,,
28,.,.,u--------,,0.0,AuxK,5.115,,,,,
29,&quot;,&quot;,u--------,,10.0,AuxG,5.115,,,,,
1,ὣς,ὡς,d--------,adv indeclform,2.0,ADV,5.116,,,,,
2,φάτο,φημί,v3saim---,Impf.2,11.0,PRED_CO,5.116,Impf.2,,,,Impf.2
3,",",",",u--------,,11.0,AuxX,5.116,,,,,
4,ῥίγησεν,ῥιγέω,v3saia---,Aor,11.0,PRED_CO,5.116,Aor,,,,Aor
5,δὲ,δέ,g--------,particle indeclform,11.0,AuxY,5.116,,,,,
6,Καλυψώ,Καλυψώ,n-s---fn-,NomSubj,7.0,SBJ_AP,5.116,NomSubj,,,,NomSubj
7,",",",",u--------,,4.0,APOS,5.116,,,,,
8,δῖα,δῖος,a-s---fn-,NomInd,7.0,SBJ_AP,5.116,NomInd,,,,NomInd
9,θεάων,θεά,n-p---fg-,GenPart,8.0,ATR,5.116,GenPart,,,,GenPart
10,",",",",u--------,,11.0,AuxX,5.116,,,,,
11,καί,καί,c--------,conj indeclform,0.0,COORD,5.117,,,,,
12,μιν,μιν,p-s---ma-,"AccObj, Pron4",16.0,OBJ,5.117,AccObj,,,,AccObj
13,φωνήσασ',φωνέω,v-sapafn-,"NomSubj, PartCirc.3",16.0,ADV,5.117,NomSubj,PartCirc.3,,,NomSubj|PartCirc.3
14,ἔπεα,ἔπος,n-p---na-,AccObj,16.0,OBJ,5.117,AccObj,,,,AccObj
15,πτερόεντα,πτερόεις,a-p---na-,AccObj,14.0,ATR,5.117,AccObj,,,,AccObj
16,προσηύδα,προσαυδάω,v3siia---,ImpfCons,11.0,PRED_CO,5.117,ImpfCons,,,,ImpfCons
17,·,·,u--------,,0.0,AuxK,5.117,,,,,
1,&quot;,&quot;,u--------,,3.0,AuxG,5.118,,,,,
2,σχέτλιοί,σχέτλιος,a-p---mn-,NomPred,6.0,PNOM_CO,5.118,NomPred,,,,NomPred
3,ἐστε,εἰμί,v2ppia---,"PresIter, Ind, Act",0.0,PRED,5.118,PresIter,Ind,Act,,PresIter|Ind|Act
4,",",",",u--------,,5.0,AuxX,5.118,,,,,
5,θεοί,θεός,n-p---mv-,Voc,3.0,ExD,5.118,Voc,,,,Voc
6,",",",",u--------,,3.0,COORD,5.118,,,,,
7,ζηλήμονες,ζηλήμων,a-p---mn-,NomPred,6.0,PNOM_CO,5.118,NomPred,,,,NomPred
8,ἔξοχον,ἔξοχος,a-s---na-,AccAdv,7.0,ADV,5.118,AccAdv,,,,AccAdv
9,ἄλλων,ἄλλος,a-p---mg-,GenComp,8.0,ATR,5.118,GenComp,,,,GenComp
10,",",",",u--------,,14.0,AuxX,5.118,,,,,
11,οἵ,ὅς,p-p---mn-,"NomSubj, Pron8",14.0,SBJ,5.119,NomSubj,,,,NomSubj
12,τε,τε,g--------,particle indeclform,14.0,AuxY,5.119,,,,,
13,θεαῖς,θεά,n-p---fd-,DatVerb,14.0,OBJ,5.119,DatVerb,,,,DatVerb
14,ἀγάασθε,ἄγαμαι,v2ppie---,"PresIter, Ind, MidMent",5.0,ATR,5.119,PresIter,Ind,MidMent,,PresIter|Ind|MidMent
15,παρ',παρά,r--------,Prep5,17.0,AuxP,5.119,,,,,
16,ἀνδράσιν,ἀνήρ,n-p---md-,DatLoca (Prep5),15.0,ADV,5.119,,,,,
17,εὐνάζεσθαι,εὐνάζω,v--pne---,InfDyn,14.0,OBJ,5.119,InfDyn,,,,InfDyn
18,ἀμφαδίην,ἀμφάδιος,a-s---fa-,AccAdv,17.0,ADV,5.12,AccAdv,,,,AccAdv
19,",",",",u--------,,20.0,AuxX,5.12,,,,,
20,ἤν,ἐάν,c--------,conj indeclform,17.0,AuxC,5.12,,,,,
21,τίς,τις,p-s---fn-,"NomSubj, Pron6",24.0,SBJ,5.12,NomSubj,,,,NomSubj
22,τε,τε,g--------,particle indeclform,24.0,AuxY,5.12,,,,,
23,φίλον,φίλος,a-s---ma-,AccObj,25.0,ATR,5.12,AccObj,,,,AccObj
24,ποιήσετ',ποιέω,v3sasm---,SubjSubor,20.0,ADV,5.12,SubjSubor,,,,SubjSubor
25,ἀκοίτην,ἀκοίτης,n-s---ma-,AccObj,24.0,OCOMP,5.12,AccObj,,,,AccObj
26,.,.,u--------,,0.0,AuxK,5.12,,,,,
1,ὣς,ὡς,d--------,adv indeclform,11.0,AuxY,5.121,,,,,
2,μὲν,μέν,g--------,particle indeclform,11.0,AuxY,5.121,,,,,
3,ὅτ',ὅτε,c--------,conj indeclform,11.0,AuxC,5.121,,,,,
4,Ὠρίων',Ὠρίων,n-s---ma-,AccObj,5.0,OBJ,5.121,AccObj,,,,AccObj
5,ἕλετο,αἱρέω,v3saim---,"Aor, MidIndir",3.0,ADV,5.121,Aor,MidIndir,,,Aor|MidIndir
6,ῥοδοδάκτυλος,ῥοδοδάκτυλος,a-s---fn-,NomSubj,7.0,ATR,5.121,NomSubj,,,,NomSubj
7,Ἠώς,ἠώς,n-s---fn-,NomSubj,5.0,SBJ,5.121,NomSubj,,,,NomSubj
8,",",",",u--------,,3.0,AuxX,5.121,,,,,
9,τόφρα,τόφρα,d--------,adv indeclform,11.0,ADV,5.122,,,,,
10,οἱ,ἕ,p-s---fd-,"DatVerb, Pron4",11.0,OBJ,5.122,DatVerb,,,,DatVerb
11,ἠγάασθε,ἄγαμαι,v2piie---,"Imp5, MidMent",0.0,PRED,5.122,,MidMent,,,MidMent
12,θεοὶ,θεός,n-p---mn-,NomSubj,11.0,SBJ,5.122,NomSubj,,,,NomSubj
13,ῥεῖα,ῥεῖα,d--------,adv indeclform,14.0,ADV,5.122,,,,,
14,ζώοντες,ζώω,v-pppamn-,"NomSubj, PartCirc.7",12.0,ATR,5.122,NomSubj,PartCirc.7,,,NomSubj|PartCirc.7
15,",",",",u--------,,16.0,AuxX,5.122,,,,,
16,ἧος,ἕως,c--------,conj indeclform,11.0,AuxC,5.123,,,,,
17,ἐν,ἐν,r--------,Prep3,26.0,AuxP,5.123,,,,,
18,Ὀρτυγίῃ,Ὀρτυγία,n-s---fd-,DatLoc.4 (Prep3),17.0,ADV,5.123,,,,,
19,χρυσόθρονος,χρυσόθρονος,a-s---fn-,NomInd,20.0,ATR,5.123,NomInd,,,,NomInd
20,Ἄρτεμις,Ἄρτεμις,n-s---fn-,NomSubj,26.0,SBJ,5.123,NomSubj,,,,NomSubj
21,ἁγνὴ,ἁγνός,a-s---fn-,NomSubj,20.0,ATR,5.123,NomSubj,,,,NomSubj
22,οἷς,ἑός,a-p---nd-,"DatInstr, Pron3",24.0,ATR,5.124,DatInstr,,,,DatInstr
23,ἀγανοῖς,ἀγανός,a-p---nd-,DatInstr,24.0,ATR,5.124,DatInstr,,,,DatInstr
24,βελέεσσιν,βέλος,n-p---nd-,DatInstr,26.0,ADV,5.124,DatInstr,,,,DatInstr
25,ἐποιχομένη,ἐποίχομαι,v-sppefn-,"NomSubj, PartCirc.7",26.0,ADV,5.124,NomSubj,PartCirc.7,,,NomSubj|PartCirc.7
26,κατέπεφνεν,κατέπεφνον,v3saia---,AorIngr,16.0,ADV,5.124,AorIngr,,,,AorIngr
27,.,.,u--------,,0.0,AuxK,5.124,,,,,
1,ὣς,ὡς,d--------,adv indeclform,20.0,AuxY,5.125,,,,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.125,,,,,
3,ὁπότ',ὁπότε,d--------,adv indeclform,2.0,AuxC,5.125,,,,,
4,Ἰασίωνι,̓ἰασίων,n-s---md-,DatResp,12.0,OBJ,5.125,DatResp,,,,DatResp
5,ἐυπλόκαμος,εὐπλόκαμος,a-s---fn-,NomSubj,6.0,ATR,5.125,NomSubj,,,,NomSubj
6,Δημήτηρ,Δημήτηρ,n-s---fn-,NomSubj,12.0,SBJ,5.125,NomSubj,,,,NomSubj
7,",",",",u--------,,10.0,AuxX,5.125,,,,,
8,ᾧ,ὅς,p-s---md-,"DatVerb, Pron3",9.0,ATR,5.126,DatVerb,,,,DatVerb
9,θυμῷ,θυμός,n-s---md-,DatVerb,10.0,OBJ,5.126,DatVerb,,,,DatVerb
10,εἴξασα,εἴκω,v-sapafn-,"NomSubj, PartCirc.4",12.0,ADV,5.126,NomSubj,PartCirc.4,,,NomSubj|PartCirc.4
11,",",",",u--------,,10.0,AuxX,5.126,,,,,
12,μίγη,μίγνυμι,v3saip---,"Aor, Pass",20.0,ADV,5.126,Aor,Pass,,,Aor|Pass
13,φιλότητι,φιλότης,n-s---fd-,DatMean,14.0,ADV_CO,5.126,DatMean,,,,DatMean
14,καὶ,καί,c--------,conj indeclform,12.0,COORD,5.126,,,,,
15,εὐνῇ,εὐνή,n-s---fd-,DatLoc (Prep3),14.0,ADV_CO,5.126,DatLoc (Prep3),,,,DatLoc (Prep3)
16,νειῷ,νειός,n-s---fd-,DatLoc (Prep3),17.0,ADV,5.127,DatLoc (Prep3),,,,DatLoc (Prep3)
17,ἔνι,ἐν,r--------,Prep3,12.0,AuxP,5.127,,,,,
18,τριπόλῳ,τρίπολος,a-s---fd-,DatLoc (Prep3),16.0,ATR,5.127,DatLoc (Prep3),,,,DatLoc (Prep3)
19,·,·,u--------,,0.0,AuxK,5.127,,,,,
1,οὐ,οὐ,d--------,adv indeclform,4.0,AuxZ,5.127,,,,,
2,δὲ,δέ,g--------,particle indeclform,0.0,COORD,5.127,,,,,
3,δὴν,δήν,d--------,adv indeclform,4.0,ADV,5.127,,,,,
4,ἦεν,εἰμί,v3siia---,Impf,2.0,PRED_CO,5.127,Impf,,,,Impf
5,ἄπυστος,ἄπυστος,a-s---mn-,NomPred,4.0,PNOM,5.127,NomPred,,,,NomPred
6,Ζεύς,Ζεύς,n-s---mn-,NomSubj,4.0,SBJ,5.128,NomSubj,,,,NomSubj
7,",",",",u--------,,10.0,AuxX,5.128,,,,,
8,ὅς,ὅς,p-s---mn-,"NomSubj, Pron8",10.0,SBJ,5.128,NomSubj,,,,NomSubj
9,μιν,μιν,p-s---ma-,"AccObj, Pron4",10.0,OBJ,5.128,AccObj,,,,AccObj
10,κατέπεφνε,κατέπεφνον,v3saia---,AorComp,6.0,ATR,5.128,AorComp,,,,AorComp
11,βαλὼν,βάλλω,v-sapamn-,"NomSubj, PartCirc.3",10.0,ADV,5.128,NomSubj,PartCirc.3,,,NomSubj|PartCirc.3
12,ἀργῆτι,ἀργής,n-s---md-,DatInstr,13.0,ATR,5.128,DatInstr,,,,DatInstr
13,κεραυνῷ,κεραυνός,n-s---md-,DatInstr,10.0,ADV,5.128,DatInstr,,,,DatInstr
14,.,.,u--------,,0.0,AuxK,5.128,,,,,
1,ὥς,ὡς,d--------,conj indeclform,6.0,AuxY,5.129,,,,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.129,,,,,
3,αὖ,αὖ,d--------,adv indeclform,6.0,AuxY,5.129,,,,,
4,νῦν,νῦν,d--------,adv indeclform,6.0,ADV,5.129,,,,,
5,μοι,ἐγώ,p1s---fd-,"DatVerb, Pron1",6.0,OBJ,5.129,DatVerb,,,,DatVerb
6,ἄγασθε,ἄγαμαι,v2ppie---,"Pres, MidMent",2.0,PRED_CO,5.129,Pres,MidMent,,,Pres|MidMent
7,",",",",u--------,,8.0,AuxX,5.129,,,,,
8,θεοί,θεός,n-p---mv-,Voc,6.0,ExD,5.129,Voc,,,,Voc
9,",",",",u--------,,8.0,AuxX,5.129,,,,,
10,βροτὸν,βροτός,n-s---ma-,AccSubj,11.0,ATR,5.129,AccSubj,,,,AccSubj
11,ἄνδρα,ἀνήρ,n-s---ma-,AccSubj,12.0,SBJ,5.129,AccSubj,,,,AccSubj
12,παρεῖναι,πάρειμι,v--pna---,InfDyn,6.0,OBJ,5.129,InfDyn,,,,InfDyn
13,.,.,u--------,,0.0,AuxK,5.129,,,,,
1,τὸν,ὁ,p-s---ma-,"AccObj, Pron4",4.0,OBJ,5.13,AccObj,,,,AccObj
2,μὲν,μέν,g--------,particle indeclform,4.0,AuxY,5.13,,,,,
3,ἐγὼν,ἐγώ,p1s---fn-,"NomSubj, Pron1",4.0,SBJ,5.13,NomSubj,,,,NomSubj
4,ἐσάωσα,σώζω,v1saia---,AorIngr,0.0,PRED,5.13,AorIngr,,,,AorIngr
5,περὶ,περί,r--------,Prep5,7.0,AuxP,5.13,,,,,
6,τρόπιος,τρόπις,n-s---fg-,GenLoc (Prep5),5.0,OBJ,5.13,GenLoc (Prep5),,,,GenLoc (Prep5)
7,βεβαῶτα,βαίνω,v-srpama-,"AccObj, PartCirc.7, PerfNoni",1.0,ATV,5.13,AccObj,PartCirc.7,PerfNoni,,AccObj|PartCirc.7|PerfNoni
8,οἶον,οἶος,a-s---ma-,AccObj,1.0,ATV,5.131,AccObj,,,,AccObj
9,",",",",u--------,,10.0,AuxX,5.131,,,,,
10,ἐπεί,ἐπεί,c--------,conj indeclform,4.0,AuxC,5.131,,,,,
11,οἱ,ἕ,p-s---md-,"DatPos, Pron4",12.0,ATR,5.131,DatPos,,,,DatPos
12,νῆα,ναῦς,n-s---fa-,AccObj,17.0,OBJ,5.131,AccObj,,,,AccObj
13,θοὴν,θοός,a-s---fa-,AccObj,12.0,ATR,5.131,AccObj,,,,AccObj
14,ἀργῆτι,ἀργής,n-s---md-,DatInstr,15.0,ATR,5.131,DatInstr,,,,DatInstr
15,κεραυνῷ,κεραυνός,n-s---md-,DatInstr,18.0,ADV,5.131,DatInstr,,,,DatInstr
16,Ζεὺς,Ζεύς,n-s---mn-,NomSubj,18.0,SBJ,5.132,NomSubj,,,,NomSubj
17,ἔλσας,εἴλω,v-sapamn-,"NomSubj, PartCirc.3",18.0,ADV,5.132,NomSubj,PartCirc.3,,,NomSubj|PartCirc.3
18,ἐκέασσε,κεάζω,v3saia---,Aor,10.0,ADV,5.132,Aor,,,,Aor
19,μέσῳ,μέσος,a-s---md-,DatLoc (Prep3),22.0,ATR,5.132,DatLoc (Prep3),,,,DatLoc (Prep3)
20,ἐνὶ,ἐν,r--------,Prep3,18.0,AuxP,5.132,,,,,
21,οἴνοπι,οἶνοψ,n-s---md-,DatLoc (Prep3),22.0,ATR,5.132,DatLoc (Prep3),,,,DatLoc (Prep3)
22,πόντῳ,πόντος,n-s---md-,DatLoc (Prep3),20.0,ADV,5.132,DatLoc (Prep3),,,,DatLoc (Prep3)
23,.,.,u--------,,0.0,AuxK,5.132,,,,,
1,ἔνθ',ἔνθα,d--------,adv indeclform,5.0,ADV,5.133,,,,,
2,ἄλλοι,ἄλλος,a-p---mn-,NomSubj,7.0,ATR,5.133,NomSubj,,,,NomSubj
3,μὲν,μέν,g--------,particle indeclform,5.0,AuxY,5.133,,,,,
4,πάντες,πᾶς,a-p---mn-,NomSubj,7.0,ATR,5.133,NomSubj,,,,NomSubj
5,ἀπέφθιθεν,ἀποφθίνω,v3paip---,"AorIngr, Pass",10.0,PRED_CO,5.133,AorIngr,Pass,,,AorIngr|Pass
6,ἐσθλοὶ,ἐσθλός,a-p---mn-,NomSubj,7.0,ATR,5.133,NomSubj,,,,NomSubj
7,ἑταῖροι,ἑταῖρος,n-p---mn-,NomSubj,5.0,SBJ,5.133,NomSubj,,,,NomSubj
8,",",",",u--------,,10.0,AuxX,5.133,,,,,
9,τὸν,ὁ,p-s---ma-,"AccObj, Pron4",18.0,OBJ,5.134,AccObj,,,,AccObj
10,δ',δέ,g--------,particle indeclform,0.0,COORD,5.134,,,,,
11,ἄρα,ἄρα,g--------,particle indeclform,18.0,AuxY,5.134,,,,,
12,δεῦρ',δεῦρο,d--------,adv indeclform,18.0,OBJ,5.134,,,,,
13,ἄνεμός,ἄνεμος,n-s---mn-,NomSubj,16.0,SBJ_CO,5.134,NomSubj,,,,NomSubj
14,τε,τε,g--------,particle indeclform,16.0,AuxY,5.134,,,,,
15,φέρων,φέρω,v-sppamn-,"NomSubj, PartCirc.3",18.0,ADV,5.134,NomSubj,PartCirc.3,,,NomSubj|PartCirc.3
16,καὶ,καί,c--------,conj indeclform,18.0,COORD,5.134,,,,,
17,κῦμα,κῦμα,n-s---nn-,NomSubj,16.0,SBJ_CO,5.134,NomSubj,,,,NomSubj
18,πέλασσε,πελάζω,v3saia---,AorIngr,10.0,PRED_CO,5.134,AorIngr,,,,AorIngr
19,.,.,u--------,,0.0,AuxK,5.134,,,,,
1,τὸν,ὁ,p-s---ma-,"AccObj, Pron4",6.0,OBJ,5.135,AccObj,,,,AccObj
2,μὲν,μέν,g--------,particle indeclform,9.0,AuxY,5.135,,,,,
3,ἐγὼ,ἐγώ,p1s---fn-,"NomSubj, Pron1",9.0,SBJ,5.135,NomSubj,,,,NomSubj
4,φίλεόν,φιλέω,v1siia---,ImpfDesc,6.0,PRED_CO,5.135,ImpfDesc,,,,ImpfDesc
5,τε,τε,g--------,particle indeclform,6.0,AuxY,5.135,,,,,
6,καὶ,καί,c--------,conj indeclform,9.0,COORD,5.135,,,,,
7,ἔτρεφον,τρέφω,v1siia---,ImpfDesc,6.0,PRED_CO,5.135,ImpfDesc,,,,ImpfDesc
8,",",",",u--------,,9.0,AuxX,5.135,,,,,
9,ἠδὲ,ἠδέ,c--------,conj indeclform,0.0,COORD,5.135,,,,,
10,ἔφασκον,φάσκω,v1siia---,ImpfIter.1,9.0,PRED_CO,5.135,ImpfIter.1,,,,ImpfIter.1
11,θήσειν,τίθημι,v--fna---,InfDec,10.0,OBJ,5.136,InfDec,,,,InfDec
12,ἀθάνατον,ἀθάνατος,a-s---nn-,AccObj,13.0,OCOMP_CO,5.136,AccObj,,,,AccObj
13,καὶ,καί,c--------,conj indeclform,11.0,COORD,5.136,,,,,
14,ἀγήραον,ἀγήραος,a-s---ma-,AccObj,13.0,OCOMP_CO,5.136,AccObj,,,,AccObj
15,ἤματα,ἦμαρ,n-p---na-,AccTime,13.0,ADV,5.136,AccTime,,,,AccTime
16,πάντα,πᾶς,a-p---na-,AccTime,15.0,ATR,5.136,AccTime,,,,AccTime
17,.,.,u--------,,0.0,AuxK,5.136,,,,,
1,ἀλλ',ἀλλά,d--------,adv indeclform,17.0,AuxY,5.137,,,,,
2,ἐπεὶ,ἐπεί,c--------,conj indeclform,17.0,AuxC,5.137,,,,,
3,οὔ,οὐ,d--------,adv indeclform,5.0,AuxZ,5.137,,,,,
4,πως,πως,g--------,particle indeclform,5.0,AuxY,5.137,,,,,
5,ἔστι,εἰμί,v3spia---,"PresIter.1., Ind, Act",2.0,ADV,5.137,PresIter.1.,Ind,Act,,PresIter.1.|Ind|Act
6,Διὸς,ζεύς,n-s---mg-,GenPos,7.0,ATR,5.137,GenPos,,,,GenPos
7,νόον,νόος,n-s---ma-,AccObj,14.0,OBJ,5.137,AccObj,,,,AccObj
8,αἰγιόχοιο,αἰγίοχος,a-s---mg-,GenPos,6.0,ATR,5.137,GenPos,,,,GenPos
9,οὔ,οὐ,d--------,adv indeclform,14.0,AuxY,5.138,,,,,
10,τε,τε,g--------,particle indeclform,14.0,AuxY,5.138,,,,,
11,παρεξελθεῖν,παρεξέρχομαι,v--ana---,InfDyn,14.0,SBJ_CO,5.138,InfDyn,,,,InfDyn
12,ἄλλον,ἄλλος,a-s---ma-,AccSubj,13.0,ATR,5.138,AccSubj,,,,AccSubj
13,θεὸν,θεός,n-s---ma-,AccSubj,14.0,SBJ,5.138,AccSubj,,,,AccSubj
14,οὔθ',οὔτε,c--------,adv indeclform,5.0,COORD,5.138,,,,,
15,ἁλιῶσαι,ἁλιόω,v--ana---,InfDyn,14.0,SBJ_CO,5.138,InfDyn,,,,InfDyn
16,",",",",u--------,,2.0,AuxX,5.138,,,,,
17,ἐρρέτω,ἔρρω,v3spma---,ImprComm,0.0,PRED,5.139,ImprComm,,,,ImprComm
18,",",",",u--------,,19.0,AuxX,5.139,,,,,
19,εἴ,εἰ,c--------,conj indeclform,17.0,AuxC,5.139,,,,,
20,μιν,μιν,p-s---ma-,"AccObj, Pron4",23.0,OBJ,5.139,AccObj,,,,AccObj
21,κεῖνος,κεῖνος,p-s---mn-,"NomSubj, Pron4",23.0,SBJ,5.139,NomSubj,,,,NomSubj
22,ἐποτρύνει,ἐποτρύνω,v3spia---,"Pres, Ind, Act",23.0,ADV_CO,5.139,Pres,Ind,Act,,Pres|Ind|Act
23,καὶ,καί,c--------,conj indeclform,19.0,COORD,5.139,,,,,
24,ἀνώγει,ἄνωγα,v3spia---,"Pres, Ind, Act",23.0,ADV_CO,5.139,Pres,Ind,Act,,Pres|Ind|Act
25,",",",",u--------,,19.0,AuxX,5.139,,,,,
26,πόντον,πόντος,n-s---ma-,AccSpac (Prep3),27.0,OBJ,5.14,AccSpac (Prep3),,,,AccSpac (Prep3)
27,ἐπ',ἐπί,r--------,Prep3,17.0,AuxP,5.14,,,,,
28,ἀτρύγετον,ἀτρύγετος,a-s---ma-,AccSpac (Prep3),26.0,ATR,5.14,AccSpac (Prep3),,,,AccSpac (Prep3)
29,·,·,u--------,,0.0,AuxK,5.14,,,,,
1,πέμψω,πέμπω,v1sfia---,FutHypo,2.0,PRED_CO,5.14,FutHypo,,,,FutHypo
2,δέ,δέ,g--------,particle indeclform,0.0,COORD,5.14,,,,,
3,μιν,μιν,p-s---ma-,"AccObj, Pron4",1.0,OBJ,5.14,AccObj,,,,AccObj
4,οὔ,οὐ,d--------,adv indeclform,1.0,AuxZ,5.14,,,,,
5,πῃ,πη,g--------,particle indeclform,1.0,AuxY,5.14,,,,,
6,ἐγώ,ἐγώ,p1s---fn-,"NomSubj, Pron1",1.0,SBJ,5.14,NomSubj,,,,NomSubj
7,γε,γε,g--------,particle indeclform,6.0,AuxZ,5.14,,,,,
8,·,·,u--------,,0.0,AuxK,5.14,,,,,
1,οὐ,οὐ,d--------,adv indeclform,19.0,AuxZ,5.141,,,,,
2,γάρ,γάρ,g--------,particle indeclform,19.0,AuxY,5.141,,,,,
3,μοι,ἐγώ,p1s---fd-,"DatLoc (Prep5), Pron1",19.0,OBJ,5.141,DatLoc (Prep5),,,,DatLoc (Prep5)
4,πάρα,παρά,r--------,Prep5,19.0,AuxZ,5.141,,,,,
5,νῆες,ναῦς,n-p---fn-,NomSubj,19.0,SBJ_CO,5.141,NomSubj,,,,NomSubj
6,ἐπήρετμοι,ἐπήρετμος,a-p---fn-,NomSubj,5.0,ATR,5.141,NomSubj,,,,NomSubj
7,καὶ,καί,c--------,conj indeclform,0.0,COORD,5.141,,,,,
8,ἑταῖροι,ἑταῖρος,n-p---mn-,NomSubj,19.0,SBJ_CO,5.141,NomSubj,,,,NomSubj
9,",",",",u--------,,13.0,AuxX,5.141,,,,,
10,οἵ,ὅς,p-p---mn-,"NomSubj, Pron8",13.0,SBJ,5.142,NomSubj,,,,NomSubj
11,κέν,ἄν,g--------,OptPoten (an),13.0,AuxZ,5.142,OptPoten (an),,,,OptPoten (an)
12,μιν,μιν,p-s---ma-,"AccObj, Pron4",13.0,OBJ,5.142,AccObj,,,,AccObj
13,πέμποιεν,πέμπω,v3ppoa---,OptPoten,7.0,ATR,5.142,OptPoten,,,,OptPoten
14,ἐπ',ἐπί,r--------,Prep5,13.0,AuxP,5.142,,,,,
15,εὐρέα,εὐρύς,a-p---na-,AccDirec.1 (Prep5),16.0,ATR,5.142,,,,,
16,νῶτα,νῶτον,n-p---na-,AccDirec.1 (Prep5),14.0,OBJ,5.142,,,,,
17,θαλάσσης,θάλασσα,n-s---fg-,GenPos,16.0,ATR,5.142,GenPos,,,,GenPos
18,.,.,u--------,,0.0,AuxK,5.142,,,,,
1,αὐτάρ,ἀτάρ,g--------,particle indeclform,4.0,AuxY,5.143,,,,,
2,οἱ,ἕ,p-s---md-,"DatAdvn, Pron4",4.0,OBJ,5.143,DatAdvn,,,,DatAdvn
3,πρόφρων,πρόφρων,a-s---fn-,NomSubj,4.0,ADV,5.143,NomSubj,,,,NomSubj
4,ὑποθήσομαι,ὑποτίθημι,v1sfim---,FutHypo,7.0,PRED_CO,5.143,FutHypo,,,,FutHypo
5,",",",",u--------,,7.0,AuxX,5.143,,,,,
6,οὐ,οὐ,d--------,adv indeclform,8.0,AuxZ,5.143,,,,,
7,δ',δέ,g--------,particle indeclform,0.0,COORD,5.143,,,,,
8,ἐπικεύσω,ἐπικεύθω,v1sfia---,FutHypo,7.0,PRED_CO,5.143,FutHypo,,,,FutHypo
9,",",",",u--------,,10.0,AuxX,5.143,,,,,
10,ὥς,ὡς,c--------,Subcl4,7.0,AuxC,5.144,,,,,
11,κε,ἄν,g--------,Subcl4,17.0,AuxZ,5.144,,,,,
12,μάλ',μάλα,d--------,adv indeclform,13.0,AuxZ,5.144,,,,,
13,ἀσκηθὴς,ἀσκηθής,a-s---mn-,NomPred,17.0,AtvV,5.144,NomPred,,,,NomPred
14,ἣν,ἑός,a-s---fa-," AccDirec, Pron3",16.0,ATR,5.144,AccDirec,,,,AccDirec
15,πατρίδα,πατρίς,a-s---fa-,AccDirec,16.0,ATR,5.144,AccDirec,,,,AccDirec
16,γαῖαν,γαῖα,n-s---fa-,AccDirec,17.0,OBJ,5.144,AccDirec,,,,AccDirec
17,ἵκηται,ἱκνέομαι,v3sase---,Subj (Subcl4),10.0,ADV,5.144,,,,,
18,.,.,u--------,,0.0,AuxK,5.144,,,,,
19,&quot;,&quot;,u--------,,7.0,AuxG,5.144,,,,,
1,τὴν,ὁ,p-s---fa-,"AccObj, Pron4",4.0,OBJ,5.145,AccObj,,,,AccObj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.145,,,,,
3,αὖτε,αὖτε,d--------,adv indeclform,4.0,AuxY,5.145,,,,,
4,προσέειπε,προσεῖπον,v3saia---,Aor,2.0,PRED_CO,5.145,Aor,,,,Aor
5,διάκτορος,διάκτορος,n-s---mn-,NomSubj,6.0,ATR,5.145,NomSubj,,,,NomSubj
