ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4
9,",",",",u--------,,10.0,AuxX,5.131,,,,
10,ἐπεί,ἐπεί,c--------,conj indeclform,4.0,AuxC,5.131,conj indeclform,,,
11,οἱ,ἕ,p-s---md-,"DatPos, Pron4",12.0,ATR,5.131,DatPos,Pron4,,
12,νῆα,ναῦς,n-s---fa-,AccObj,17.0,OBJ,5.131,AccObj,,,
13,θοὴν,θοός,a-s---fa-,AccObj,12.0,ATR,5.131,AccObj,,,
14,ἀργῆτι,ἀργής,n-s---md-,DatInstr,15.0,ATR,5.131,DatInstr,,,
15,κεραυνῷ,κεραυνός,n-s---md-,DatInstr,18.0,ADV,5.131,DatInstr,,,
16,Ζεὺς,Ζεύς,n-s---mn-,NomSubj,18.0,SBJ,5.132,NomSubj,,,
17,ἔλσας,εἴλω,v-sapamn-,"NomSubj, PartCirc.3",18.0,ADV,5.132,NomSubj,PartCirc.3,,
18,ἐκέασσε,κεάζω,v3saia---,Aor,10.0,ADV,5.132,Aor,,,
19,μέσῳ,μέσος,a-s---md-,DatLoc (Prep3),22.0,ATR,5.132,DatLoc (Prep3),,,
20,ἐνὶ,ἐν,r--------,Prep3,18.0,AuxP,5.132,Prep3,,,
21,οἴνοπι,οἶνοψ,n-s---md-,DatLoc (Prep3),22.0,ATR,5.132,DatLoc (Prep3),,,
22,πόντῳ,πόντος,n-s---md-,DatLoc (Prep3),20.0,ADV,5.132,DatLoc (Prep3),,,
23,.,.,u--------,,0.0,AuxK,5.132,,,,
1,ἔνθ',ἔνθα,d--------,adv indeclform,5.0,ADV,5.133,adv indeclform,,,
2,ἄλλοι,ἄλλος,a-p---mn-,NomSubj,7.0,ATR,5.133,NomSubj,,,
3,μὲν,μέν,g--------,particle indeclform,5.0,AuxY,5.133,particle indeclform,,,
4,πάντες,πᾶς,a-p---mn-,NomSubj,7.0,ATR,5.133,NomSubj,,,
5,ἀπέφθιθεν,ἀποφθίνω,v3paip---,"AorIngr, Pass",10.0,PRED_CO,5.133,AorIngr,Pass,,
6,ἐσθλοὶ,ἐσθλός,a-p---mn-,NomSubj,7.0,ATR,5.133,NomSubj,,,
7,ἑταῖροι,ἑταῖρος,n-p---mn-,NomSubj,5.0,SBJ,5.133,NomSubj,,,
8,",",",",u--------,,10.0,AuxX,5.133,,,,
9,τὸν,ὁ,p-s---ma-,"AccObj, Pron4",18.0,OBJ,5.134,AccObj,Pron4,,
10,δ',δέ,g--------,particle indeclform,0.0,COORD,5.134,particle indeclform,,,
11,ἄρα,ἄρα,g--------,particle indeclform,18.0,AuxY,5.134,particle indeclform,,,
12,δεῦρ',δεῦρο,d--------,adv indeclform,18.0,OBJ,5.134,adv indeclform,,,
13,ἄνεμός,ἄνεμος,n-s---mn-,NomSubj,16.0,SBJ_CO,5.134,NomSubj,,,
14,τε,τε,g--------,particle indeclform,16.0,AuxY,5.134,particle indeclform,,,
15,φέρων,φέρω,v-sppamn-,"NomSubj, PartCirc.3",18.0,ADV,5.134,NomSubj,PartCirc.3,,
16,καὶ,καί,c--------,conj indeclform,18.0,COORD,5.134,conj indeclform,,,
17,κῦμα,κῦμα,n-s---nn-,NomSubj,16.0,SBJ_CO,5.134,NomSubj,,,
18,πέλασσε,πελάζω,v3saia---,AorIngr,10.0,PRED_CO,5.134,AorIngr,,,
19,.,.,u--------,,0.0,AuxK,5.134,,,,
1,τὸν,ὁ,p-s---ma-,"AccObj, Pron4",6.0,OBJ,5.135,AccObj,Pron4,,
2,μὲν,μέν,g--------,particle indeclform,9.0,AuxY,5.135,particle indeclform,,,
3,ἐγὼ,ἐγώ,p1s---fn-,"NomSubj, Pron1",9.0,SBJ,5.135,NomSubj,Pron1,,
4,φίλεόν,φιλέω,v1siia---,ImpfDesc,6.0,PRED_CO,5.135,ImpfDesc,,,
5,τε,τε,g--------,particle indeclform,6.0,AuxY,5.135,particle indeclform,,,
6,καὶ,καί,c--------,conj indeclform,9.0,COORD,5.135,conj indeclform,,,
7,ἔτρεφον,τρέφω,v1siia---,ImpfDesc,6.0,PRED_CO,5.135,ImpfDesc,,,
8,",",",",u--------,,9.0,AuxX,5.135,,,,
9,ἠδὲ,ἠδέ,c--------,conj indeclform,0.0,COORD,5.135,conj indeclform,,,
10,ἔφασκον,φάσκω,v1siia---,ImpfIter.1,9.0,PRED_CO,5.135,ImpfIter.1,,,
11,θήσειν,τίθημι,v--fna---,InfDec,10.0,OBJ,5.136,InfDec,,,
12,ἀθάνατον,ἀθάνατος,a-s---nn-,AccObj,13.0,OCOMP_CO,5.136,AccObj,,,
13,καὶ,καί,c--------,conj indeclform,11.0,COORD,5.136,conj indeclform,,,
14,ἀγήραον,ἀγήραος,a-s---ma-,AccObj,13.0,OCOMP_CO,5.136,AccObj,,,
15,ἤματα,ἦμαρ,n-p---na-,AccTime,13.0,ADV,5.136,AccTime,,,
16,πάντα,πᾶς,a-p---na-,AccTime,15.0,ATR,5.136,AccTime,,,
17,.,.,u--------,,0.0,AuxK,5.136,,,,
1,ἀλλ',ἀλλά,d--------,adv indeclform,17.0,AuxY,5.137,adv indeclform,,,
2,ἐπεὶ,ἐπεί,c--------,conj indeclform,17.0,AuxC,5.137,conj indeclform,,,
3,οὔ,οὐ,d--------,adv indeclform,5.0,AuxZ,5.137,adv indeclform,,,
4,πως,πως,g--------,particle indeclform,5.0,AuxY,5.137,particle indeclform,,,
5,ἔστι,εἰμί,v3spia---,"PresIter.1., Ind, Act",2.0,ADV,5.137,PresIter.1.,Ind,Act,
6,Διὸς,ζεύς,n-s---mg-,GenPos,7.0,ATR,5.137,GenPos,,,
7,νόον,νόος,n-s---ma-,AccObj,14.0,OBJ,5.137,AccObj,,,
8,αἰγιόχοιο,αἰγίοχος,a-s---mg-,GenPos,6.0,ATR,5.137,GenPos,,,
9,οὔ,οὐ,d--------,adv indeclform,14.0,AuxY,5.138,adv indeclform,,,
10,τε,τε,g--------,particle indeclform,14.0,AuxY,5.138,particle indeclform,,,
11,παρεξελθεῖν,παρεξέρχομαι,v--ana---,InfDyn,14.0,SBJ_CO,5.138,InfDyn,,,
12,ἄλλον,ἄλλος,a-s---ma-,AccSubj,13.0,ATR,5.138,AccSubj,,,
13,θεὸν,θεός,n-s---ma-,AccSubj,14.0,SBJ,5.138,AccSubj,,,
14,οὔθ',οὔτε,c--------,adv indeclform,5.0,COORD,5.138,adv indeclform,,,
15,ἁλιῶσαι,ἁλιόω,v--ana---,InfDyn,14.0,SBJ_CO,5.138,InfDyn,,,
16,",",",",u--------,,2.0,AuxX,5.138,,,,
17,ἐρρέτω,ἔρρω,v3spma---,ImprComm,0.0,PRED,5.139,ImprComm,,,
18,",",",",u--------,,19.0,AuxX,5.139,,,,
19,εἴ,εἰ,c--------,conj indeclform,17.0,AuxC,5.139,conj indeclform,,,
20,μιν,μιν,p-s---ma-,"AccObj, Pron4",23.0,OBJ,5.139,AccObj,Pron4,,
21,κεῖνος,κεῖνος,p-s---mn-,"NomSubj, Pron4",23.0,SBJ,5.139,NomSubj,Pron4,,
22,ἐποτρύνει,ἐποτρύνω,v3spia---,"Pres, Ind, Act",23.0,ADV_CO,5.139,Pres,Ind,Act,
23,καὶ,καί,c--------,conj indeclform,19.0,COORD,5.139,conj indeclform,,,
24,ἀνώγει,ἄνωγα,v3spia---,"Pres, Ind, Act",23.0,ADV_CO,5.139,Pres,Ind,Act,
25,",",",",u--------,,19.0,AuxX,5.139,,,,
26,πόντον,πόντος,n-s---ma-,AccSpac (Prep3),27.0,OBJ,5.14,AccSpac (Prep3),,,
27,ἐπ',ἐπί,r--------,Prep3,17.0,AuxP,5.14,Prep3,,,
28,ἀτρύγετον,ἀτρύγετος,a-s---ma-,AccSpac (Prep3),26.0,ATR,5.14,AccSpac (Prep3),,,
29,·,·,u--------,,0.0,AuxK,5.14,,,,
1,πέμψω,πέμπω,v1sfia---,FutHypo,2.0,PRED_CO,5.14,FutHypo,,,
2,δέ,δέ,g--------,particle indeclform,0.0,COORD,5.14,particle indeclform,,,
3,μιν,μιν,p-s---ma-,"AccObj, Pron4",1.0,OBJ,5.14,AccObj,Pron4,,
4,οὔ,οὐ,d--------,adv indeclform,1.0,AuxZ,5.14,adv indeclform,,,
5,πῃ,πη,g--------,particle indeclform,1.0,AuxY,5.14,particle indeclform,,,
6,ἐγώ,ἐγώ,p1s---fn-,"NomSubj, Pron1",1.0,SBJ,5.14,NomSubj,Pron1,,
7,γε,γε,g--------,particle indeclform,6.0,AuxZ,5.14,particle indeclform,,,
8,·,·,u--------,,0.0,AuxK,5.14,,,,
1,οὐ,οὐ,d--------,adv indeclform,19.0,AuxZ,5.141,adv indeclform,,,
2,γάρ,γάρ,g--------,particle indeclform,19.0,AuxY,5.141,particle indeclform,,,
3,μοι,ἐγώ,p1s---fd-,"DatLoc (Prep5), Pron1",19.0,OBJ,5.141,DatLoc (Prep5),Pron1,,
4,πάρα,παρά,r--------,Prep5,19.0,AuxZ,5.141,Prep5,,,
5,νῆες,ναῦς,n-p---fn-,NomSubj,19.0,SBJ_CO,5.141,NomSubj,,,
6,ἐπήρετμοι,ἐπήρετμος,a-p---fn-,NomSubj,5.0,ATR,5.141,NomSubj,,,
7,καὶ,καί,c--------,conj indeclform,0.0,COORD,5.141,conj indeclform,,,
8,ἑταῖροι,ἑταῖρος,n-p---mn-,NomSubj,19.0,SBJ_CO,5.141,NomSubj,,,
9,",",",",u--------,,13.0,AuxX,5.141,,,,
10,οἵ,ὅς,p-p---mn-,"NomSubj, Pron8",13.0,SBJ,5.142,NomSubj,Pron8,,
11,κέν,ἄν,g--------,OptPoten (an),13.0,AuxZ,5.142,OptPoten (an),,,
12,μιν,μιν,p-s---ma-,"AccObj, Pron4",13.0,OBJ,5.142,AccObj,Pron4,,
13,πέμποιεν,πέμπω,v3ppoa---,OptPoten,7.0,ATR,5.142,OptPoten,,,
14,ἐπ',ἐπί,r--------,Prep5,13.0,AuxP,5.142,Prep5,,,
15,εὐρέα,εὐρύς,a-p---na-,AccDirec.1 (Prep5),16.0,ATR,5.142,AccDirec.1 (Prep5),,,
16,νῶτα,νῶτον,n-p---na-,AccDirec.1 (Prep5),14.0,OBJ,5.142,AccDirec.1 (Prep5),,,
17,θαλάσσης,θάλασσα,n-s---fg-,GenPos,16.0,ATR,5.142,GenPos,,,
18,.,.,u--------,,0.0,AuxK,5.142,,,,
1,αὐτάρ,ἀτάρ,g--------,particle indeclform,4.0,AuxY,5.143,particle indeclform,,,
2,οἱ,ἕ,p-s---md-,"DatAdvn, Pron4",4.0,OBJ,5.143,DatAdvn,Pron4,,
3,πρόφρων,πρόφρων,a-s---fn-,NomSubj,4.0,ADV,5.143,NomSubj,,,
4,ὑποθήσομαι,ὑποτίθημι,v1sfim---,FutHypo,7.0,PRED_CO,5.143,FutHypo,,,
5,",",",",u--------,,7.0,AuxX,5.143,,,,
6,οὐ,οὐ,d--------,adv indeclform,8.0,AuxZ,5.143,adv indeclform,,,
7,δ',δέ,g--------,particle indeclform,0.0,COORD,5.143,particle indeclform,,,
8,ἐπικεύσω,ἐπικεύθω,v1sfia---,FutHypo,7.0,PRED_CO,5.143,FutHypo,,,
9,",",",",u--------,,10.0,AuxX,5.143,,,,
10,ὥς,ὡς,c--------,Subcl4,7.0,AuxC,5.144,Subcl4,,,
11,κε,ἄν,g--------,Subcl4,17.0,AuxZ,5.144,Subcl4,,,
12,μάλ',μάλα,d--------,adv indeclform,13.0,AuxZ,5.144,adv indeclform,,,
13,ἀσκηθὴς,ἀσκηθής,a-s---mn-,NomPred,17.0,AtvV,5.144,NomPred,,,
14,ἣν,ἑός,a-s---fa-," AccDirec, Pron3",16.0,ATR,5.144,AccDirec,Pron3,,
15,πατρίδα,πατρίς,a-s---fa-,AccDirec,16.0,ATR,5.144,AccDirec,,,
16,γαῖαν,γαῖα,n-s---fa-,AccDirec,17.0,OBJ,5.144,AccDirec,,,
17,ἵκηται,ἱκνέομαι,v3sase---,Subj (Subcl4),10.0,ADV,5.144,Subj (Subcl4),,,
18,.,.,u--------,,0.0,AuxK,5.144,,,,
19,&quot;,&quot;,u--------,,7.0,AuxG,5.144,,,,
1,τὴν,ὁ,p-s---fa-,"AccObj, Pron4",4.0,OBJ,5.145,AccObj,Pron4,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.145,particle indeclform,,,
3,αὖτε,αὖτε,d--------,adv indeclform,4.0,AuxY,5.145,adv indeclform,,,
4,προσέειπε,προσεῖπον,v3saia---,Aor,2.0,PRED_CO,5.145,Aor,,,
5,διάκτορος,διάκτορος,n-s---mn-,NomSubj,6.0,ATR,5.145,NomSubj,,,
6,ἀργεϊφόντης,Ἀργειφόντης,n-s---mn-,NomInd,4.0,SBJ,5.145,NomInd,,,
7,·,·,u--------,,0.0,AuxK,5.145,,,,
1,&quot;,&quot;,u--------,,7.0,AuxG,5.146,,,,
2,οὕτω,οὕτως,d--------,adv indeclform,4.0,ADV,5.146,adv indeclform,,,
3,νῦν,νῦν,d--------,adv indeclform,4.0,ADV,5.146,adv indeclform,,,
4,ἀπόπεμπε,ἀποπέμπω,v2spma---,ImprComm,7.0,PRED_CO,5.146,ImprComm,,,
5,",",",",u--------,,7.0,AuxX,5.146,,,,
6,Διὸς,Ζεύς,n-s---mg-,GenPos,9.0,ATR,5.146,GenPos,,,
7,δ',δέ,g--------,particle indeclform,0.0,COORD,5.146,particle indeclform,,,
8,ἐποπίζεο,ἐποπίζομαι,v2spme---,ImprComm,7.0,PRED_CO,5.146,ImprComm,,,
9,μῆνιν,μῆνις,n-s---fa-,AccObj,8.0,OBJ,5.146,AccObj,,,
10,",",",",u--------,,11.0,AuxX,5.146,,,,
11,μή,μή,c--------,Subcl5,8.0,AuxC,5.147,Subcl5,,,
12,πώς,πως,g--------,particle indeclform,16.0,AuxY,5.147,particle indeclform,,,
13,τοι,σύ,p2s----d-,"DatAdvn, Pron1",16.0,OBJ,5.147,DatAdvn,Pron1,,
14,μετόπισθε,μετόπισθε,d--------,adv indeclform,16.0,ADV,5.147,adv indeclform,,,
15,κοτεσσάμενος,κοτέω,v-sapmmn-,"NomSubj, PartCirc.4",16.0,ADV,5.147,NomSubj,PartCirc.4,,
16,χαλεπήνῃ,χαλεπαίνω,v3sasa---,Subj (Subcl5),11.0,ADV,5.147,Subj (Subcl5),,,
17,.,.,u--------,,0.0,AuxK,5.147,,,,
18,&quot;,&quot;,u--------,,7.0,AuxG,5.147,,,,
1,ὣς,ὡς,d--------,adv indeclform,3.0,ADV,5.148,adv indeclform,,,
2,ἄρα,ἄρα,g--------,particle indeclform,3.0,AuxY,5.148,particle indeclform,,,
3,φωνήσας,φωνέω,v-sapamn-,"NomSubj, PartCirc.7",4.0,ADV,5.148,NomSubj,PartCirc.7,,
4,ἀπέβη,ἀποβαίνω,v3saia---,AorIngr,0.0,PRED,5.148,AorIngr,,,
5,κρατὺς,κρατύς,a-s---mn-,NomSubj,6.0,ATR,5.148,NomSubj,,,
6,ἀργεϊφόντης,Ἀργειφόντης,n-s---mn-,NomSubj,4.0,SBJ,5.148,NomSubj,,,
7,·,·,u--------,,0.0,AuxK,5.148,,,,
1,ἡ,ὁ,p-s---fn-,"NomSubj, Pron4",16.0,SBJ_AP,5.149,NomSubj,Pron4,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.149,particle indeclform,,,
3,ἐπ',ἐπί,r--------,Prep5,8.0,AuxP,5.149,Prep5,,,
4,Ὀδυσσῆα,Ὀδυσσεύς,n-s---ma-,AccDirec.1 (Prep5),3.0,OBJ,5.149,AccDirec.1 (Prep5),,,
5,μεγαλήτορα,μεγαλήτωρ,n-s---ma-,AccDirec.1 (Prep5),4.0,ATR,5.149,AccDirec.1 (Prep5),,,
6,πότνια,πότνια,n-s---fn-,NomSubj,7.0,ATR,5.149,NomSubj,,,
7,νύμφη,νύμφη,n-s---fn-,NomSubj,16.0,SBJ_AP,5.149,NomSubj,,,
8,ἤι',εἶμι,v3siia---,ImpfCons,2.0,PRED_CO,5.15,ImpfCons,,,
9,",",",",u--------,,10.0,AuxX,5.15,,,,
10,ἐπεὶ,ἐπεί,c--------,conj indeclform,8.0,AuxC,5.15,conj indeclform,,,
11,δὴ,δή,g--------,particle indeclform,13.0,AuxY,5.15,particle indeclform,,,
12,Ζηνὸς,Ζεύς,n-s---mg-,GenPos,14.0,ATR,5.15,GenPos,,,
13,ἐπέκλυεν,ἐπικλύω,v3saia---,Aor,10.0,ADV,5.15,Aor,,,
14,ἀγγελιάων,ἀγγελία,n-p---fg-,GenVerb,13.0,OBJ,5.15,GenVerb,,,
15,.,.,u--------,,0.0,AuxK,5.15,,,,
1,τὸν,ὁ,p-s---ma-,"AccObj, Pron4",6.0,OBJ,5.151,AccObj,Pron4,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.151,particle indeclform,,,
3,ἄρ',ἄρα,g--------,particle indeclform,6.0,AuxY,5.151,particle indeclform,,,
4,ἐπ',ἐπί,r--------,Prep3,7.0,AuxP,5.151,Prep3,,,
5,ἀκτῆς,ἀκτή,n-s---fg-,GenLoc (Prep3),4.0,OBJ,5.151,GenLoc (Prep3),,,
6,εὗρε,εὑρίσκω,v2sama---,AorIngr,2.0,PRED_CO,5.151,AorIngr,,,
7,καθήμενον,κάθημαι,v-srpema-,"AccObj, PartAttr",1.0,ATV,5.151,AccObj,PartAttr,,
8,·,·,u--------,,0.0,AuxK,5.151,,,,
1,οὐ,οὐ,d--------,adv indeclform,6.0,AuxZ,5.151,adv indeclform,,,
2,δέ,δέ,g--------,particle indeclform,9.0,COORD,5.151,particle indeclform,,,
3,ποτ',ποτέ,g--------,particle indeclform,6.0,ADV,5.151,particle indeclform,,,
4,ὄσσε,ὄσσε,n-d---nn-,NomSubj,6.0,SBJ,5.151,NomSubj,,,
5,δακρυόφιν,δάκρυον,n-p---ng-,GenVerb.1,6.0,OBJ,5.152,GenVerb.1,,,
6,τέρσοντο,τέρσομαι,v3piip---,"ImpfDesc, Pass",9.0,PRED_CO,5.152,ImpfDesc,Pass,,
7,",",",",u--------,,9.0,AuxX,5.152,,,,
8,κατείβετο,κατείβω,v3siie---,"ImpfDesc, MidIndir",9.0,PRED_CO,5.152,ImpfDesc,MidIndir,,
9,δὲ,δέ,g--------,particle indeclform,0.0,COORD,5.152,particle indeclform,,,
10,γλυκὺς,γλυκύς,a-s---mn-,NomSubj,11.0,ATR,5.152,NomSubj,,,
11,αἰὼν,αἰών,n-s---mn-,NomSubj,8.0,SBJ,5.152,NomSubj,,,
12,νόστον,νόστος,n-s---ma-,AccObj,13.0,OBJ,5.153,AccObj,,,
13,ὀδυρομένῳ,ὀδύρομαι,v-sppemd-,"DatAdvn, PartAttr",20.0,ATV,5.153,DatAdvn,PartAttr,,
14,",",",",u--------,,15.0,AuxX,5.153,,,,
15,ἐπεὶ,ἐπεί,c--------,conj indeclform,9.0,AuxC,5.153,conj indeclform,,,
16,οὐκέτι,οὐκέτι,d--------,adv indeclform,17.0,ADV,5.153,adv indeclform,,,
17,ἥνδανε,ἁνδάνω,v3siia---,Impf,15.0,ADV,5.153,Impf,,,
18,νύμφη,νύμφη,n-s---fn-,NomSubj,17.0,SBJ,5.153,NomSubj,,,
19,.,.,u--------,,0.0,AuxK,5.153,,,,
1,ἀλλ',ἀλλά,d--------,adv indeclform,6.0,AuxY,5.154,adv indeclform,,,
2,ἦ,ἦ,d--------,adv indeclform,6.0,AuxY,5.154,adv indeclform,,,
3,τοι,τοι,g--------,particle indeclform,6.0,AuxY,5.154,particle indeclform,,,
4,νύκτας,νύξ,n-p---fa-,AccTime,6.0,ADV,5.154,AccTime,,,
5,μὲν,μέν,g--------,particle indeclform,6.0,AuxY,5.154,particle indeclform,,,
6,ἰαύεσκεν,ἰαύω,v3siia---,ImpfIter.1,0.0,PRED,5.154,ImpfIter.1,,,
7,καὶ,καί,d--------,conj indeclform,8.0,AuxZ,5.154,conj indeclform,,,
8,ἀνάγκῃ,ἀνάγκη,n-s---fd-,DatInstr,6.0,ADV,5.154,DatInstr,,,
9,ἐν,ἐν,r--------,Prep3,6.0,AuxP,5.155,Prep3,,,
10,σπέσσι,σπέος,n-p---nd-,DatLoc (Prep3),9.0,ADV,5.155,DatLoc (Prep3),,,
11,γλαφυροῖσι,γλαφυρός,a-p---nd-,DatLoc (Prep3),10.0,ATR,5.155,DatLoc (Prep3),,,
12,παρ',παρά,r--------,Prep5,6.0,AuxP,5.155,Prep5,,,
13,οὐκ,οὐ,d--------,adv indeclform,14.0,AuxZ,5.155,adv indeclform,,,
14,ἐθέλων,ἐθέλω,v-sppamn-,"NomSubj, PartAttr",6.0,ADV,5.155,NomSubj,PartAttr,,
15,ἐθελούσῃ,ἐθέλω,v-sppafd-,"DatLoc (Prep5), PartAttr",12.0,ADV,5.155,DatLoc (Prep5),PartAttr,,
16,·,·,u--------,,0.0,AuxK,5.155,,,,
1,ἤματα,ἦμαρ,n-p---na-,AccTime,18.0,ADV,5.156,AccTime,,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.156,particle indeclform,,,
3,ἂμ,ἀνά,r--------,Prep5,7.0,AuxP,5.156,Prep5,,,
4,πέτρῃσι,πέτρα,n-p---fd-,DatLoc (Prep5),5.0,ADV_CO,5.156,DatLoc (Prep5),,,
5,καὶ,καί,c--------,conj indeclform,3.0,COORD,5.156,conj indeclform,,,
6,ἠιόνεσσι,ἠιών,n-p---fd-,DatLoc (Prep5),5.0,ADV_CO,5.156,DatLoc (Prep5),,,
7,καθίζων,καθίζω,v-sppamn-,"NomSubj, PartCirc.1",18.0,ADV,5.156,NomSubj,PartCirc.1,,
8,δάκρυσι,δάκρυον,n-p---nd-,DatInstr,11.0,ADV_CO,5.157,DatInstr,,,
9,καὶ,καί,c--------,conj indeclform,11.0,AuxY,5.157,conj indeclform,,,
10,στοναχῇσι,στοναχή,n-p---fd-,DatInstr,11.0,ADV_CO,5.157,DatInstr,,,
11,καὶ,καί,c--------,conj indeclform,14.0,COORD,5.157,conj indeclform,,,
12,ἄλγεσι,ἄλγος,n-p---nd-,DatInstr,11.0,ADV_CO,5.157,DatInstr,,,
13,θυμὸν,θυμός,n-s---ma-,AccObj,14.0,OBJ,5.157,AccObj,,,
14,ἐρέχθων,ἐρέχθω,v-sppamn-,"NomSubj, PartAttr",18.0,ADV,5.157,NomSubj,PartAttr,,
15,πόντον,πόντος,n-s---ma-,AccDirec.1 (Prep5),16.0,OBJ,5.158,AccDirec.1 (Prep5),,,
16,ἐπ',ἐπί,r--------,Prep5,18.0,AuxP,5.158,Prep5,,,
17,ἀτρύγετον,ἀτρύγετος,a-s---ma-,AccDirec.1 (Prep5),15.0,ATR,5.158,AccDirec.1 (Prep5),,,
18,δερκέσκετο,δέρκομαι,v3siie---,ImpfIter.1,2.0,PRED_CO,5.158,ImpfIter.1,,,
19,δάκρυα,δάκρυον,n-p---na-,AccObj,20.0,OBJ,5.158,AccObj,,,
20,λείβων,λείβω,v-sppamn-,"NomSubj, PartCirc.1",18.0,ADV,5.158,NomSubj,PartCirc.1,,
21,.,.,u--------,,0.0,AuxK,5.158,,,,
1,ἀγχοῦ,ἀγχοῦ,d--------,adv indeclform,3.0,ADV,5.159,adv indeclform,,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.159,particle indeclform,,,
3,ἱσταμένη,ἵστημι,v-sppefn-,"NomSubj, PartCirc.7",4.0,ADV,5.159,NomSubj,PartCirc.7,,
4,προσεφώνεε,προσφωνέω,v3siia---,ImpfCons,2.0,PRED_CO,5.159,ImpfCons,,,
5,δῖα,δῖος,a-s---fn-,NomInd,4.0,SBJ,5.159,NomInd,,,
6,θεάων,θεά,n-p---fg-,GenPart,5.0,ATR,5.159,GenPart,,,
7,·,·,u--------,,0.0,AuxK,5.159,,,,
1,&quot;,&quot;,u--------,,11.0,AuxG,5.16,,,,
2,κάμμορε,κάμμορος,a-s---mv-,Voc,11.0,ExD,5.16,Voc,,,
3,",",",",u--------,,2.0,AuxX,5.16,,,,
4,μή,μή,d--------,ImprComm (mh),8.0,AuxZ,5.16,ImprComm (mh),,,
5,μοι,ἐγώ,p1s---fd-,DatAccom,8.0,ADV,5.16,DatAccom,,,
6,ἔτ',ἔτι,d--------,adv indeclform,8.0,ADV,5.16,adv indeclform,,,
7,ἐνθάδ',ἐνθάδε,d--------,adv indeclform,8.0,ADV,5.16,adv indeclform,,,
8,ὀδύρεο,ὀδύρομαι,v2spme---,ImprCommB,11.0,PRED_CO,5.16,ImprCommB,,,
9,",",",",u--------,,11.0,AuxX,5.16,,,,
10,μη,μή,g--------,ImprComm (mh),14.0,AuxZ,5.16,ImprComm (mh),,,
11,δέ,δέ,g--------,particle indeclform,0.0,COORD,5.16,particle indeclform,,,
12,τοι,σύ,p2s----d-,DatPos,13.0,ATR,5.16,DatPos,,,
13,αἰὼν,αἰών,n-s---mn-,NomSubj,14.0,SBJ,5.16,NomSubj,,,
14,φθινέτω,φθίω,v3spma---,ImprCommC,11.0,PRED_CO,5.161,ImprCommC,,,
15,·,·,u--------,,0.0,AuxK,5.161,,,,
1,ἤδη,ἤδη,d--------,adv indeclform,6.0,ADV,5.161,adv indeclform,,,
2,γάρ,γάρ,g--------,particle indeclform,6.0,AuxY,5.161,particle indeclform,,,
3,σε,σύ,p2s----a-,"AccObj, Pron1",6.0,OBJ,5.161,AccObj,Pron1,,
4,μάλα,μάλα,d--------,adv indeclform,5.0,AuxZ,5.161,adv indeclform,,,
5,πρόφρασσ',πρόφρασσα,a-s---fn-,NomSubj,6.0,AtvV,5.161,NomSubj,,,
6,ἀποπέμψω,ἀποπέμπω,v1sfia---,Fut,0.0,PRED,5.161,Fut,,,
7,.,.,u--------,,0.0,AuxK,5.161,,,,
1,ἀλλ',ἀλλά,d--------,adv indeclform,6.0,AuxY,5.162,adv indeclform,,,
2,ἄγε,ἄγε,d--------,adv indeclform,6.0,AuxY,5.162,adv indeclform,,,
3,δούρατα,δόρυ,n-p---na-,AccObj,5.0,OBJ,5.162,AccObj,,,
4,μακρὰ,μακρός,a-p---na-,AccObj,3.0,ATR,5.162,AccObj,,,
5,ταμὼν,τέμνω,v-sapamn-,"NomSubj, PartCirc.7",6.0,ADV,5.162,NomSubj,PartCirc.7,,
6,ἁρμόζεο,ἁρμόζω,v2spme---,"ImprComm, N1",0.0,PRED,5.162,ImprComm,N1,,
7,χαλκῷ,χαλκός,n-s---md-,DatInstr,6.0,ADV,5.162,DatInstr,,,
8,εὐρεῖαν,εὐρύς,a-s---fa-,AccObj,9.0,ATR,5.163,AccObj,,,
9,σχεδίην,σχεδία,n-s---fa-,AccObj,6.0,OBJ,5.163,AccObj,,,
10,·,·,u--------,,0.0,AuxK,5.163,,,,
1,ἀτὰρ,ἀτάρ,g--------,particle indeclform,3.0,AuxY,5.163,particle indeclform,,,
2,ἴκρια,ἴκρια,n-p---na-,AccObj,3.0,OBJ,5.163,AccObj,,,
3,πῆξαι,πήγνυμι,v2samm---,"AorDram, ImprComm, MidIndir",0.0,PRED,5.163,AorDram,ImprComm,MidIndir,
4,ἐπ',ἐπί,r--------,Prep3,3.0,AuxP,5.163,Prep3,,,
5,αὐτῆς,αὐτός,a-s---fg-,GenLoc (Prep3),4.0,OBJ,5.163,GenLoc (Prep3),,,
6,ὑψοῦ,ὑψοῦ,d--------,adv indeclform,3.0,ADV,5.164,adv indeclform,,,
7,",",",",u--------,,8.0,AuxX,5.164,,,,
8,ὥς,ὡς,c--------,Subcl4,3.0,AuxC,5.164,Subcl4,,,
9,σε,σύ,p2s----a-,"AccObj, Pron1",10.0,OBJ,5.164,AccObj,Pron1,,
