sentence_subdoc,sentence_id,document_id,ref,greek,lemma,pos,rel,syn,cite,didakta,didakta_tense,didakta_voice,didakta_mood
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,οὔ,οὐ,d--------,27,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.213,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,24,τ̓,τε,g--------,23,AuxZ,urn:cts:greekLit:tlg0012.tlg001:12.213,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,25,ἐνὶ,ἐν,r--------,27,AuxP,urn:cts:greekLit:tlg0012.tlg001:12.213,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,26,βουλῇ,βουλή,n-s---fd-,25,ADV_CO,urn:cts:greekLit:tlg0012.tlg001:12.213,DatInstr,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,27,οὔτέ,οὔτε,d--------,21,COORD,urn:cts:greekLit:tlg0012.tlg001:12.214,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,28,ποτ̓,ποτέ,g--------,29,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.214,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,29,ἐν,ἐν,r--------,27,AuxP,urn:cts:greekLit:tlg0012.tlg001:12.214,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,30,πολέμῳ,πόλεμος,n-s---md-,29,ADV_CO,urn:cts:greekLit:tlg0012.tlg001:12.214,GBP,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,31,",",",",u--------,33,AuxX,,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,32,σὸν,σός,a-s---na-,34,ATR,urn:cts:greekLit:tlg0012.tlg001:12.214,AccObj,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,33,δὲ,δέ,g--------,11,COORD,urn:cts:greekLit:tlg0012.tlg001:12.214,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,34,κράτος,κράτος,n-s---na-,36,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.214,AccObj,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,35,αἰὲν,ἀεί,d--------,36,ADV,urn:cts:greekLit:tlg0012.tlg001:12.214,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,36,ἀέξειν,ἀέξω,v--pna---,38,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.214,InfDyn_unknown_unknown,InfDyn,unknown,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,37,·,·,u--------,0,AuxK,,,,,
12.211-12.214,2277998,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,38,[0],,,33,ADV_CO,,,,,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,νῦν,νῦν,d--------,3,ADV,urn:cts:greekLit:tlg0012.tlg001:12.215,,,,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,αὖτ̓,αὖτε,d--------,3,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.215,,,,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἐξερέω,ἐξερέω,v1sfia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:12.215,Fut_unknown_unknown,Fut,unknown,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,ὥς,ὡς,c--------,6,ADV,urn:cts:greekLit:tlg0012.tlg001:12.215,,,,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,μοι,ἐγώ,p-s---md-,6,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.215,DatVerb,,,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,δοκεῖ,δοκέω,v3spia---,3,ADV,urn:cts:greekLit:tlg0012.tlg001:12.215,Pres_Ind_unknown,Pres,Ind,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,εἶναι,εἰμί,v--pna---,6,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.215,InfDec_unknown_unknown,InfDec,unknown,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,ἄριστα,ἄριστος,a-p---nn-,7,PNOM,urn:cts:greekLit:tlg0012.tlg001:12.215,NomPred,,,
12.215,2277999,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,.,.,u--------,0,AuxK,,,,,
12.216,2278000,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,μὴ,μή,g--------,2,AuxZ,urn:cts:greekLit:tlg0012.tlg001:12.216,,,,
12.216,2278000,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,ἴομεν,εἶμι,v1ppsa---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:12.216,ImpfCons_unknown_unknown,ImpfCons,unknown,
12.216,2278000,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,Δαναοῖσι,Δαναοί,n-p---md-,4,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.216,DatVerb,,,
12.216,2278000,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,μαχησόμενοι,μάχομαι,v-pfpmmn-,2,ADV,urn:cts:greekLit:tlg0012.tlg001:12.216,NomSubj_unknown_unknown,NomSubj,unknown,
12.216,2278000,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,περὶ,περί,r--------,4,AuxP,urn:cts:greekLit:tlg0012.tlg001:12.216,,,,
12.216,2278000,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,νηῶν,ναῦς,n-p---fg-,5,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.216,GenVerb,,,
12.216,2278000,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,.,.,u--------,0,AuxK,,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ὧδε,ὧδε,d--------,3,ADV,urn:cts:greekLit:tlg0012.tlg001:12.217,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,γὰρ,γάρ,g--------,4,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.217,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἐκτελέεσθαι,ἐκτελέω,v--pne---,4,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.217,InfDyn_unknown_unknown,InfDyn,unknown,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,ὀΐομαι,οἴομαι,v1spie---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:12.217,Pres_unknown_unknown,Pres,unknown,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,",",",",u--------,6,AuxX,,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,εἰ,εἰ,c--------,3,AuxC,urn:cts:greekLit:tlg0012.tlg001:12.217,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,ἐτεόν,ἐτεός,a-s---na-,12,ADV,urn:cts:greekLit:tlg0012.tlg001:12.217,AccAdv,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,γε,γε,g--------,7,AuxZ,urn:cts:greekLit:tlg0012.tlg001:12.217,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,Τρωσὶν,Τρώς,n-p---md-,12,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.218,DatVerb,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,ὅδ̓,ὅδε,p-s---mn-,11,ATR,urn:cts:greekLit:tlg0012.tlg001:12.218,NomSubj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,ὄρνις,ὄρνις,n-s---mn-,28,SBJ_AP,urn:cts:greekLit:tlg0012.tlg001:12.218,NomSubj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,ἦλθε,ἔρχομαι,v3saia---,6,ADV,urn:cts:greekLit:tlg0012.tlg001:12.218,Aor_unknown_unknown,Aor,unknown,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,περησέμεναι,περάω,v--fna---,14,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.218,FutNoni_unknown_unknown,FutNoni,unknown,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,μεμαῶσιν,μέμαα,v-prpamd-,9,ATV,urn:cts:greekLit:tlg0012.tlg001:12.218,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,αἰετὸς,ἀετός,n-s---mn-,28,SBJ_AP,urn:cts:greekLit:tlg0012.tlg001:12.219,NomSubj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,ὑψιπέτης,ὑψιπέτης,a-s---mn-,15,ATR,urn:cts:greekLit:tlg0012.tlg001:12.219,NomSubj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,ἐπ̓,ἐπί,r--------,12,AuxP,urn:cts:greekLit:tlg0012.tlg001:12.219,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,ἀριστερὰ,ἀριστερός,a-p---na-,17,ADV,urn:cts:greekLit:tlg0012.tlg001:12.219,AccAdv,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,λαὸν,λαός,n-s---ma-,20,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.219,AccObj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,ἐέργων,ἔργω,v-sppamn-,12,ADV,urn:cts:greekLit:tlg0012.tlg001:12.219,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,21,φοινήεντα,φοινήεις,a-s---ma-,22,ATR,urn:cts:greekLit:tlg0012.tlg001:12.220,AccObj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,22,δράκοντα,δράκων,n-s---ma-,23,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.220,AccObj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,φέρων,φέρω,v-sppamn-,12,ADV,urn:cts:greekLit:tlg0012.tlg001:12.220,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,24,ὀνύχεσσι,ὄνυξ,n-p---md-,23,ADV,urn:cts:greekLit:tlg0012.tlg001:12.220,DatVerb,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,25,πέλωρον,πέλωρος,a-s---ma-,29,ATR_CO,urn:cts:greekLit:tlg0012.tlg001:12.220,AccObj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,26,ζωόν,ζωός,a-s---ma-,29,ATR_CO,urn:cts:greekLit:tlg0012.tlg001:12.221,AccObj,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,27,·,·,u--------,0,AuxK,,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,28,[0],,,12,APOS,,,,,
12.217-12.221,2278001,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,29,[1],,,22,COORD,,,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἄφαρ,ἄφαρ,d--------,3,ADV,urn:cts:greekLit:tlg0012.tlg001:12.221,,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,δ̓,δέ,g--------,10,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.221,,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἀφέηκε,ἀφίημι,v3saia---,10,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:12.221,Aor_unknown_unknown,Aor,unknown,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,πάρος,πάρος,c--------,3,AuxC,urn:cts:greekLit:tlg0012.tlg001:12.221,,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,φίλα,φίλος,a-p---na-,6,ATR,urn:cts:greekLit:tlg0012.tlg001:12.221,AccObj,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,οἰκί̓,οἰκίον,n-p---na-,7,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.221,AccObj,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,ἱκέσθαι,ἱκνέομαι,v--anm---,4,ADV,urn:cts:greekLit:tlg0012.tlg001:12.221,InfDyn_unknown_unknown,InfDyn,unknown,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,",",",",u--------,10,AuxX,,,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,οὐ,οὐ,d--------,11,AuxZ,urn:cts:greekLit:tlg0012.tlg001:12.222,,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,δ̓,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:12.222,,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,ἐτέλεσσε,τελέω,v3saia---,10,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:12.222,Aor_unknown_unknown,Aor,unknown,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,φέρων,φέρω,v-sppamn-,11,ADV,urn:cts:greekLit:tlg0012.tlg001:12.222,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,δόμεναι,δίδωμι,v--ana---,11,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.222,InfDyn_unknown_unknown,InfDyn,unknown,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,τεκέεσσιν,τέκος,n-p---nd-,13,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.222,DatVerb,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,ἑοῖσιν,ἑός,a-p---nd-,14,ATR,urn:cts:greekLit:tlg0012.tlg001:12.222,DatLoc,,,
12.221-12.222,2278002,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,.,.,u--------,0,AuxK,,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ὣς,ὡς,d--------,23,ADV,urn:cts:greekLit:tlg0012.tlg001:12.223,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,ἡμεῖς,ἐγώ,p-p---mn-,23,SBJ,urn:cts:greekLit:tlg0012.tlg001:12.223,NomSubj,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,",",",",u--------,4,AuxX,,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,εἴ,εἰ,c--------,23,AuxC,urn:cts:greekLit:tlg0012.tlg001:12.223,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,πέρ,πέρ,g--------,4,AuxZ,urn:cts:greekLit:tlg0012.tlg001:12.223,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,τε,τε,g--------,8,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.223,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,πύλας,πύλη,n-p---fa-,8,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:12.223,AccObj,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,καὶ,καί,c--------,11,COORD,urn:cts:greekLit:tlg0012.tlg001:12.223,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,τεῖχος,τεῖχος,n-s---na-,8,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:12.223,AccObj,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,Ἀχαιῶν,Ἀχαιός,a-p---mg-,8,ATR,urn:cts:greekLit:tlg0012.tlg001:12.223,GenPos,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,ῥηξόμεθα,ῥήγνυμι,v1pasm---,16,ADV_CO,urn:cts:greekLit:tlg0012.tlg001:12.224,NomSubj_unknown_unknown,NomSubj,unknown,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,σθένεϊ,σθένος,n-s---nd-,11,ADV,urn:cts:greekLit:tlg0012.tlg001:12.224,DatInstr,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,μεγάλῳ,μέγας,a-s---nd-,12,ATR,urn:cts:greekLit:tlg0012.tlg001:12.224,DatLoc,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,",",",",u--------,16,AuxX,,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,εἴξωσι,εἴκω,v3pasa---,16,ADV_CO,urn:cts:greekLit:tlg0012.tlg001:12.224,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,δ̓,δέ,g--------,4,COORD,urn:cts:greekLit:tlg0012.tlg001:12.224,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,Ἀχαιοί,Ἀχαιός,a-p---mn-,15,SBJ,urn:cts:greekLit:tlg0012.tlg001:12.224,NomSubj,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,",",",",u--------,4,AuxX,,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,οὐ,οὐ,d--------,20,AuxZ,urn:cts:greekLit:tlg0012.tlg001:12.225,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,κόσμῳ,κόσμος,n-s---md-,23,ADV,urn:cts:greekLit:tlg0012.tlg001:12.225,DatAdvn,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,21,παρὰ,παρά,r--------,23,AuxP,urn:cts:greekLit:tlg0012.tlg001:12.225,,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,22,ναῦφιν,ναῦς,n-p---fd-,21,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.225,DatLoc,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,ἐλευσόμεθ̓,ἔρχομαι,v1pfim---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:12.225,AorComp_unknown_unknown,AorComp,unknown,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,24,αὐτὰ,αὐτός,a-p---na-,25,ATR,urn:cts:greekLit:tlg0012.tlg001:12.225,AccObj,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,25,κέλευθα,κέλευθος,n-p---na-,23,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.225,AccObj,,,
12.223-12.225,2278003,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,26,·,·,u--------,0,AuxK,,,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,πολλοὺς,πολύς,a-p---ma-,4,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.226,AccObj,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,γὰρ,γάρ,g--------,4,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.226,,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,Τρώων,Τρώς,n-p----g-,1,ATR,urn:cts:greekLit:tlg0012.tlg001:12.226,GenPos,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,καταλείψομεν,καταλείπω,v1pfia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:12.226,FutHypo_unknown_unknown,FutHypo,unknown,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,",",",",u--------,10,AuxX,,,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,οὕς,ὅς,p-p---ma-,10,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.226,AccObj,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,κεν,ἄν,g--------,10,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.226,,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,Ἀχαιοὶ,Ἀχαιός,a-p---mn-,10,SBJ,urn:cts:greekLit:tlg0012.tlg001:12.226,NomSubj,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,χαλκῷ,χαλκός,n-s---md-,10,ADV,urn:cts:greekLit:tlg0012.tlg001:12.227,DatInstr,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,δῃώσωσιν,δηιόω,v3pasa---,1,ATR,urn:cts:greekLit:tlg0012.tlg001:12.227,NomSubj_SubjSubor_unknown,NomSubj,SubjSubor,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,ἀμυνόμενοι,ἀμύνω,v-pppemn-,10,ADV,urn:cts:greekLit:tlg0012.tlg001:12.227,PresNoni_PartCirc_unknown,PresNoni,PartCirc,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,περὶ,περί,r--------,11,AuxP,urn:cts:greekLit:tlg0012.tlg001:12.227,,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,νηῶν,ναῦς,n-p---fg-,12,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.227,GenVerb,,,
12.226-12.227,2278004,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,.,.,u--------,0,AuxK,,,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ὧδέ,ὧδε,d--------,3,ADV,urn:cts:greekLit:tlg0012.tlg001:12.228,,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,χ̓,ἄν,g--------,3,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.228,,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ὑποκρίναιτο,ὑποκρίνομαι,v3saom---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:12.228,ImprComm_unknown_unknown,ImprComm,unknown,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,θεοπρόπος,θεοπρόπος,a-s---mn-,3,SBJ,urn:cts:greekLit:tlg0012.tlg001:12.228,NomSubj,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,",",",",u--------,11,AuxX,,,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,ὃς,ὅς,p-s---mn-,9,SBJ,urn:cts:greekLit:tlg0012.tlg001:12.228,NomSubj,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,σάφα,σάφα,d--------,9,ADV,urn:cts:greekLit:tlg0012.tlg001:12.228,,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,θυμῷ,θυμός,n-s---md-,9,ADV,urn:cts:greekLit:tlg0012.tlg001:12.228,DatLoc,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,εἰδείη,οἶδα,v3sroa---,11,ATR_CO,urn:cts:greekLit:tlg0012.tlg001:12.229,Perf_PartAttr_unknown,Perf,PartAttr,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,τεράων,τέρας,n-p---ng-,9,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.229,GenMat,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,καί,καί,c--------,4,COORD,urn:cts:greekLit:tlg0012.tlg001:12.229,,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,οἱ,ἕ,p-s---md-,13,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.229,DatVerb,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,πειθοίατο,πείθω,v3ppoe---,11,ATR_CO,urn:cts:greekLit:tlg0012.tlg001:12.229,NomSubj_unknown_unknown,NomSubj,unknown,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,λαοί,λαός,n-p---mn-,13,SBJ,urn:cts:greekLit:tlg0012.tlg001:12.229,NomSubj,,,
12.228-12.229,2278005,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,.,.,u--------,0,AuxK,,,,,
12.230,2278006,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,τὸν,ὁ,p-s---ma-,6,OBJ,urn:cts:greekLit:tlg0012.tlg001:12.230,AccObj,,,
12.230,2278006,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,δ̓,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:12.230,,,,
12.230,2278006,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἄῤ,ἄρα,g--------,5,AuxY,urn:cts:greekLit:tlg0012.tlg001:12.230,,,,
12.230,2278006,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,ὑπόδρα,ὑπόδρα,d--------,5,ADV,urn:cts:greekLit:tlg0012.tlg001:12.230,,,,
12.230,2278006,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,ἰδὼν,εἶδον,v-sapamn-,6,ADV,urn:cts:greekLit:tlg0012.tlg001:12.230,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
12.230,2278006,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,προσέφη,πρόσφημι,v3siia---,2,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:12.230,Impf_unknown_unknown,Impf,unknown,
