,ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,_error_center_index
8650,2274334.2,θεός,θεοί,n-p---mn-,NomSubj.,2274334.19,SBJ,Ref=1.403|SpaceAfter=No,NomSubj,,,,8657
8653,2274334.22,ἀνήρ,ἄνδρες,n-p---mn-,NomSubj.,2274334.36,SBJ,Ref=1.403,NomSubj,,,,8657
8657,2274334.26,Αἰγαίων,Αἰγαίων’,n-s---ma-,AccDoubl.,2274334.36,OCOMP,Ref=1.404|SpaceAfter=No,AccDoubl,,,,8657
8662,2274334.31,βία,βίην,n-s---fa-,AccResp.,2274334.34,ATR,Ref=1.404,AccResp,,,,8657
8664,2274334.33,πατήρ,πατρός,n-s---mg-,GenComp.,2274334.34,ATR,Ref=1.404,GenComp,,,,8657
7889,2274294.6,βασιλεύς,βασιλῆα,n-s---ma-,AccObj. ,2274294.5,OBJ,Ref=1.331,AccObj,,,,7920
7919,2274296.2,κῆρυξ,κήρυκες,n-p---mv-,Voc.,2274296.12,ExD_AP,Ref=1.334,Voc,,,,7920
7920,2274296.3,Ζεύς,Διός,n-s---mg-,GenObj.,2274296.5,ATR_CO,Ref=1.334,GenObj,,,,7920
7921,2274296.4,ἄγγελος,ἄγγελοι,n-p---mv-,Voc.,2274296.12,ExD_AP,Ref=1.334,Voc,,,,7920
7924,2274296.7,ἀνήρ,ἀνδρῶν,n-p---mg-,GenObj.,2274296.5,ATR_CO,Ref=1.334|SpaceAfter=No,GenObj,,,,7920
136,5,νῆες,ναῦς,n-p---fn-,NomSubj,19.0,SBJ_CO,5.16,NomSubj,,,,148
139,8,ἑταῖροι,ἑταῖρος,n-p---mn-,NomSubj,19.0,SBJ_CO,5.16,NomSubj,,,,148
148,17,θαλάσσης,θάλασσα,n-s---fg-,GenPart,16.0,ATR,5.17,GenPart,,,,148
152,3,παῖδ',παῖς,n-s---ma-,AccObj,5.0,OBJ,5.18,AccObj,,,,148
163,5,πατρὸς,πατήρ,n-s---mg-,GenObj,6.0,ATR,5.19,GenObj,,,,148
275,30,πομπῇ,πομπή,n-s---fd-,DatInstr,26.0,ADV,5.32,DatInstr,,,,287
279,34,ἀνθρώπων,ἄνθρωπος,n-p---mg-,GenSubj,32.0,ATR_CO,5.32,GenSubj,,,,287
287,7,πήματα,πῆμα,n-p---na-,"AccCog [lit ""suffering sufferings""]",8.0,OBJ,5.33,AccCog,,,,287
289,9,ἤματί,ἦμαρ,n-s---nd-,DatTime,14.0,ADV,5.34,DatTime,,,,287
292,12,Σχερίην,Σχερία,n-s---fa-,AccDirec,15.0,OBJ_AP,5.34,AccDirec,,,,287
8183,2274310.1,μήτηρ,μήτηρ,n-s---fn-,NomSubj.,2274310.8,SBJ,Ref=1.357,NomSubj,,,,8200
8187,2274310.14,ἅλς,ἁλός,n-s---fg-,GenExpl.,2274310.13,ATR,Ref=1.358,GenExpl,,,,8200
8200,2274311.5,ἅλς,ἁλός,n-s---fg-,GenSep. ,2274311.3,OBJ,Ref=1.359,GenSep,,,,8200
8210,2274311.14,δάκρυον,δάκρυ,n-s---na-,AccObj. ,2274311.15,OBJ,Ref=1.360,AccObj,,,,8200
8213,2274311.15,χείρ,χειρί,n-s---fd-,DatAccom.,2274311.2,ADV,Ref=1.361,DatAccom,,,,8200
5354,2274156.4,φρήν,φρένες,n-p---fn-,NomSubj.,2274156.6,SBJ,Ref=1.103,NomSubj,,,,5361
5358,2274156.8,ὄσσε,ὄσσε,n-d---nn-,NomSubj.,2274156.13,SBJ,Ref=1.104,NomSubj,,,,5361
5361,2274156.11,πῦρ,πυρί,n-s---nd-,DatVerb. ,2274156.13,OBJ,Ref=1.104,DatVerb,,,,5361
5369,2274157.1,Κάλχας,Κάλχαντα,n-s---ma-,AccObj. ,2274157.5,OBJ,Ref=1.105,AccObj,,,,5361
5379,2274158.1,μάντις,μάντι,n-s---mv-,Voc. ,2274158.9,ExD,Ref=1.106,Voc,,,,5361
6297,2274201.18,φάσγανον,φάσγανον,n-s---na-,AccObj. ,2274201.2,OBJ,Ref=1.190,AccObj,,,,6309
6308,2274201.29,Ἀτρείδης,Ἀτρεΐδην,n-s---ma-,AccObj. ,2274201.3,OBJ,Ref=1.191,AccObj,,,,6309
6309,2274201.29,Ἀτρείδης,Ἀτρεΐδην,n-s---ma-,PresNoni. | OptSubor. | Act.,2274201.3,OBJ,Ref=1.191|SpaceAfter=No,PresNoni,OptSubor,Act,,6309
6312,2274201.33,χόλος,χόλον,n-s---ma-,AccObj. ,2274201.34,OBJ,Ref=1.192,AccObj,,,,6309
6316,2274201.37,θυμός,θυμόν,n-s---ma-,AccObj. ,2274201.35,OBJ,Ref=1.192|SpaceAfter=No,AccObj,,,,6309
8391,2274321.13,ἄποινα,ἄποινα,n-p---na-,AccObj. ,2274321.12,OBJ,Ref=1.377|SpaceAfter=No,AccObj,,,,8402
8400,2274322.4,Ἀγαμέμνων,Ἀγαμέμνονι,n-s---md-,DatVerb.,2274322.5,OBJ,Ref=1.378,DatVerb,,,,8402
8402,2274322.6,θυμός,θυμῷ,n-s---md-,DatLoc.,2274322.5,OBJ,Ref=1.378|SpaceAfter=No,DatLoc,,,,8402
8421,2274323.4,γέρων,γέρων,n-s---mn-,NomSubj.,2274323.6,SBJ,Ref=1.380,NomSubj,,,,8402
8431,2274324.3,Ἀπόλλων,Ἀπόλλων,n-s---mn-,NomSubj.,2274324.14,SBJ,Ref=1.380,NomSubj,,,,8402
4259,16,γείτονες,γείτων,n-p---mn-,NomSubj,35.0,SBJ,5.489,NomSubj,,,,4263
4262,19,σπέρμα,σπέρμα,n-s---na-,AccObj,21.0,OBJ,5.49,AccObj,,,,4263
4263,20,πυρὸς,πῦρ,n-s---ng-,GenPart,19.0,ATR,5.49,GenPart,,,,4263
4273,30,Ὀδυσεὺς,Ὀδυσσεύς,n-s---mn-,NomSubj,32.0,SBJ,5.491,NomSubj,,,,4263
4274,31,φύλλοισι,φύλλον,n-p---nd-,DatInstr,32.0,ADV,5.491,DatInstr,,,,4263
8765,2274339.3,τέκνον,τέκνον,n-s---nv-,Voc.,2274339.9,ExD,Ref=1.414,Voc,,,,8822
8792,2274340.13,αἶσα,αἶσα,n-s---fn-,NomPred.,2274340.21,SBJ,Ref=1.416,NomPred,,,,8822
8822,2274342.4,αἶσις,αἴσῃ,n-s---fd-,DatCaus.,2274342.5,ADV,Ref=1.418,DatCaus,,,,8822
8835,2274343.5,ἔπος,ἔπος,n-s---na-,AccObj. ,2274343.4,OBJ,Ref=1.419,AccObj,,,,8822
8836,2274343.6,Ζεύς,Διί,n-s---md-,DatVerb. ,2274343.4,OBJ,Ref=1.419,DatVerb,,,,8822
2001,38,κεφαλῇ,κεφαλή,n-s---fd-,DatLoc,43.0,ADV,5.232,DatLoc,,,,2008
2004,41,καλύπτρην,καλύπτρα,n-s---fa-,AccObj,43.0,OBJ,5.232,AccObj,,,,2008
2008,3,Ὀδυσσῆι,Ὀδυσσεύς,n-s---md-,DatAdvn,5.0,OBJ,5.233,DatAdvn,,,,2008
2009,4,μεγαλήτορι,μεγαλήτωρ,n-s---md-,DatAdvn,3.0,ATR,5.233,DatAdvn,,,,2008
2011,6,πομπήν,πομπή,n-s---fa-,AccObj,5.0,OBJ,5.233,AccObj,,,,2008
10818,2274451.25,Ἀπόλλων,Ἀπόλλων,n-s---mn-,NomSubj.,2274451.24,SBJ,Ref=1.603|SpaceAfter=No,NomSubj,,,,10825
10820,2274451.27,Μοῦσα,Μουσάων,n-p---fg-,GenVerb. ,2274451.28,OBJ_CO,Ref=1.604,GenVerb,,,,10825
10825,2274451.32,ὄψ,ὀπί,n-s---fd-,DatMean.,2274451.31,ADV,Ref=1.604,DatMean,,,,10825
10836,2274452.5,φάος,φάος,n-s---nn-,NomSubj.,2274452.3,SBJ,Ref=1.605,NomSubj,,,,10825
10837,2274452.6,ἥλιος,ἠελίοιο,n-s---mg-,GenExpl.,2274452.5,ATR,Ref=1.605|SpaceAfter=No,GenExpl,,,,10825
2391,14,χειρὸς,χείρ,n-s---fg-,GenExpl,13.0,ATR,5.277,GenExpl,,,,2406
2400,7,ἤματα,ἦμαρ,n-p---na-,AccTime,6.0,ADV,5.278,AccTime,,,,2406
2406,13,ὄρεα,ὄρος,n-p---nn-,AccObj,12.0,SBJ,5.279,AccObj,,,,2406
2408,15,γαίης,γαῖα,n-s---fg-,GenPart,13.0,ATR,5.28,GenPart,,,,2406
2409,16,Φαιήκων,Φαίαξ,n-p---mg-,GenPos,15.0,ATR,5.28,GenPos,,,,2406
4366,2274108.3,Ζεύς,Διός,n-s---mg-,GenPos.  ,2274108.2,ATR_CO,Ref=1.9,GenPos,,,,4375
4367,2274108.4,υἱός,υἱός,n-s---mn-,NomInd.,2274108.6,SBJ,Ref=1.9|SpaceAfter=No,NomInd,,,,4375
4375,2274109.3,βασιλεύς,βασιλῆϊ,n-s---md-,DatCaus.,2274109.4,OBJ,Ref=1.9,DatCaus,,,,4375
4377,2274109.5,νόσος,νοῦσον,n-s---fa-,AccObj. ,2274109.8,OBJ,Ref=1.10,AccObj,,,,4375
4385,2274109.13,λαός,λαοί,n-p---mn-,NomSubj.,2274109.11,SBJ,Ref=1.10|SpaceAfter=No,NomSubj,,,,4375
3348,3,νύκτας,νύξ,n-p---fa-,AccTime,5.0,ADV_CO,5.388,AccTime,,,,3352
3351,6,ἤματα,ἦμαρ,n-p---na-,AccTime,5.0,ADV_CO,5.388,AccTime,,,,3352
3352,7,κύματι,κῦμα,n-s---nd-,DatAgent,9.0,ADV,5.388,DatAgent,,,,3352
3359,14,κραδίη,καρδία,n-s---fn-,NomSubj,15.0,SBJ,5.389,NomSubj,,,,3352
3361,16,ὄλεθρον,ὄλεθρος,n-s---ma-,AccObj,15.0,OBJ,5.389,AccObj,,,,3352
2045,3,ὁδοῖο,ὁδός,n-s---fg-,GenVerb.11,1.0,OBJ,5.237,GenVerb,,,,2048
2046,4,νήσου,νῆσος,n-s---fg-,GenPart,6.0,ATR,5.238,GenPart,,,,2048
2048,6,ἐσχατιῆς,ἐσχατιά,n-s---fg-,GenLoc (Prep5),5.0,OBJ,5.238,GenLoc,,,,2048
2051,9,δένδρεα,δένδρεον,n-p---nn-,NomSubj,12.0,SBJ_AP,5.238,NomSubj,,,,2048
2055,13,κλήθρη,κλήθρα,n-s---fn-,NomSubj,16.0,SBJ_AP_CO,5.239,NomSubj,,,,2048
287,7,πήματα,πῆμα,n-p---na-,"AccCog [lit ""suffering sufferings""]",8.0,OBJ,5.33,AccCog,,,,292
289,9,ἤματί,ἦμαρ,n-s---nd-,DatTime,14.0,ADV,5.34,DatTime,,,,292
292,12,Σχερίην,Σχερία,n-s---fa-,AccDirec,15.0,OBJ_AP,5.34,AccDirec,,,,292
308,28,κῆρι,κῆρ,n-s---nd-,DatLoc,27.0,ADV,5.36,DatLoc,,,,292
309,29,θεὸν,θεός,n-s---ma-,AccObj,72.0,OBJ,5.36,AccObj,,,,292
2291,6,θεὰ,θεά,n-s---fn-,NomSubj,18.0,SBJ,5.265,NomSubj,,,,2299
2293,8,οἴνοιο,οἶνος,n-s---mg-,GenExpl,4.0,ATR,5.265,GenExpl,,,,2299
2299,14,ὕδατος,ὕδωρ,n-s---ng-,GenExpl,12.0,ATR,5.266,GenExpl,,,,2299
2305,20,ᾖα,ἤια,n-p---na-,AccObj,24.0,OBJ,5.266,AccObj,,,,2299
2306,21,κωρύκῳ,κώρυκος,n-s---md-,DatLoc (Prep3),24.0,OBJ,5.267,DatLoc,,,,2299
3851,9,Ποσειδάωνος,Ποσειδεών,n-s---mg-,GenSubj,10.0,ATR,5.446,GenSubj,,,,3860
3852,10,ἐνιπάς,ἐνιπή,n-p---fa-,AccObj,6.0,OBJ,5.446,AccObj,,,,3860
3860,7,θεοῖσιν,θεός,n-p---md-,DatVerb,4.0,OBJ,5.447,DatVerb,,,,3860
3861,8,ἀνδρῶν,ἀνήρ,n-p---mg-,GenPart,9.0,ATR,5.448,GenPart,,,,3860
3873,20,ῥόον,ῥόος,n-s---ma-,AccDirec,22.0,OBJ_CO,5.449,AccDirec,,,,3860
3486,5,νηῶν,ναῦς,n-p---fg-,GenObj,6.0,ATR,5.404,GenObj,,,,3491
3487,6,ὄχοι,ὄχος,n-p---mn-,NomPred,12.0,SBJ_AP,5.404,NomPred,,,,3491
3491,10,ἐπιωγαί,ἐπιωγαί,n-p---fn-,NomPred,12.0,SBJ,5.404,NomPred,,,,3491
3494,2,ἀκταὶ,ἀκτή,n-p---fn-,NomPred,8.0,SBJ_CO,5.405,NomPred,,,,3491
3495,3,προβλῆτες,προβλής,n-p---fn-,NomPred,2.0,ATR,5.405,NomPred,,,,3491
7646,2274280.12,ἐρέτης,ἐρέτας,n-p---ma-,AccObj. ,2274280.13,OBJ,Ref=1.309,AccObj,,,,7654
7652,2274280.18,ἑκατόμβη,ἑκατόμβην,n-s---fa-,AccObj. ,2274280.19,OBJ,Ref=1.309,AccObj,,,,7654
7654,2274280.2,θεός,θεῷ,n-s---md-,DatAdvn. ,2274280.19,ADV,Ref=1.310|SpaceAfter=No,DatAdvn,,,,7654
7658,2274280.24,Χρυσηίς,Χρυσηΐδα,n-s---fa-,AccObj. ,2274280.26,OBJ,Ref=1.310,AccObj,,,,7654
7672,2274281.6,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj.,2274281.4,SBJ,Ref=1.311|SpaceAfter=No,NomSubj,,,,7654
9944,2274400.5,κεφαλή,κεφαλῇ,n-s---fd-,DatInstr. ,2274400.6,ADV,Ref=1.524,DatInstr,,,,9981
9961,2274401.9,τέκμαρ,τέκμωρ,n-s---nn-,NomPred.,2274401.11,PNOM,Ref=1.526|SpaceAfter=No,NomPred,,,,9981
9981,2274402.14,κεφαλή,κεφαλῇ,n-s---fd-,DatInstr. ,2274402.15,ADV,Ref=1.527,DatInstr,,,,9981
9994,2274403.7,Κρονίων,Κρονίων,n-s---mn-,NomSubj.,2274403.2,SBJ,Ref=1.528|SpaceAfter=No,NomSubj,,,,9981
10003,2274404.4,χαίτη,χαῖται,n-p---fn-,NomSubj.,2274404.5,SBJ,Ref=1.529,NomSubj,,,,9981
